Ano,mes_nome,mes_num,taxa
2021,Jun,6,0.53
2022,Jun,6,0.67
2023,Jun,6,-0.08
2024,Jun,6,0.21
1981,Jul,7,6.69
1982,Jul,7,6.54
1983,Jul,7,12.06
1984,Jul,7,12.62
1985,Jul,7,9.27
1986,Jul,7,1.71
1987,Jul,7,9.21
1988,Jul,7,21.91
1989,Jul,7,27.74
1990,Jul,7,12.92
1991,Jul,7,12.41
1992,Jul,7,21.83
1993,Jul,7,30.72
1994,Jul,7,6.84
1995,Jul,7,2.36
1996,Jul,7,1.11
1997,Jul,7,0.22
1998,Jul,7,-0.12
1999,Jul,7,1.09
2000,Jul,7,1.61
2001,Jul,7,1.33
2002,Jul,7,1.19
2003,Jul,7,0.2
2004,Jul,7,0.91
2005,Jul,7,0.25
2006,Jul,7,0.19
2007,Jul,7,0.24
2008,Jul,7,0.53
2009,Jul,7,0.24
2010,Jul,7,0.01
2011,Jul,7,0.16
2012,Jul,7,0.43
2013,Jul,7,0.03
2014,Jul,7,0.01
2015,Jul,7,0.62
2016,Jul,7,0.52
2017,Jul,7,0.24
2018,Jul,7,0.33
2019,Jul,7,0.19
2020,Jul,7,0.36
2021,Jul,7,0.96
2022,Jul,7,-0.68
2023,Jul,7,0.12
2024,Jul,7,0.38
1981,Ago,8,6.28
1982,Ago,8,5.94
1983,Ago,8,8.32
1984,Ago,8,7.32
1985,Ago,8,12.1
1986,Ago,8,3.55
1987,Ago,8,4.87
1988,Ago,8,21.59
1989,Ago,8,33.71
1990,Ago,8,12.88
1991,Ago,8,15.63
1992,Ago,8,22.14
1993,Ago,8,32.96
1994,Ago,8,1.86
1995,Ago,8,0.99
1996,Ago,8,0.44
1997,Ago,8,-0.02
1998,Ago,8,-0.51
1999,Ago,8,0.56
2000,Ago,8,1.31
2001,Ago,8,0.7
2002,Ago,8,0.65
2003,Ago,8,0.34
2004,Ago,8,0.69
2005,Ago,8,0.17
2006,Ago,8,0.05
2007,Ago,8,0.47
2008,Ago,8,0.28
2009,Ago,8,0.15
2010,Ago,8,0.04
2011,Ago,8,0.37
2012,Ago,8,0.41
2013,Ago,8,0.24
2014,Ago,8,0.25
2015,Ago,8,0.22
2016,Ago,8,0.44
2017,Ago,8,0.19
2018,Ago,8,-0.09
2019,Ago,8,0.11
2020,Ago,8,0.24
2021,Ago,8,0.87
2022,Ago,8,-0.36
2023,Ago,8,0.23
2024,Ago,8,-0.02
1981,Set,9,5.29
1982,Set,9,5.61
1983,Set,9,9.48
1984,Set,9,11.39
1985,Set,9,11.98
1986,Set,9,1.72
1987,Set,9,7.78
1988,Set,9,27.45
1989,Set,9,37.56
1990,Set,9,14.41
1991,Set,9,15.63
1992,Set,9,24.63
1993,Set,9,35.69
1994,Set,9,1.53
1995,Set,9,0.99
1996,Set,9,0.15
1997,Set,9,0.06
1998,Set,9,-0.22
1999,Set,9,0.31
2000,Set,9,0.23
2001,Set,9,0.28
2002,Set,9,0.72
2003,Set,9,0.78
2004,Set,9,0.33
2005,Set,9,0.35
2006,Set,9,0.21
2007,Set,9,0.18
2008,Set,9,0.26
2009,Set,9,0.24
2010,Set,9,0.45
2011,Set,9,0.53
2012,Set,9,0.57
2013,Set,9,0.35
2014,Set,9,0.57
2015,Set,9,0.54
2016,Set,9,0.08
2017,Set,9,0.16
2018,Set,9,0.48
2019,Set,9,-0.04
2020,Set,9,0.64
2021,Set,9,1.16
2022,Set,9,-0.29
2023,Set,9,0.26
2024,Set,9,0.44
1981,Out,10,4.57
1982,Out,10,4.59
1983,Out,10,10.9
1984,Out,10,10.87
1985,Out,10,9.6
1986,Out,10,1.9
1987,Out,10,11.22
1988,Out,10,25.62
1989,Out,10,39.77
1990,Out,10,14.36
1991,Out,10,20.23
1992,Out,10,25.24
1993,Out,10,33.92
1994,Out,10,2.62
1995,Out,10,1.41
1996,Out,10,0.3
1997,Out,10,0.23
1998,Out,10,0.02
1999,Out,10,1.19
2000,Out,10,0.14
2001,Out,10,0.83
2002,Out,10,1.31
2003,Out,10,0.29
2004,Out,10,0.44
2005,Out,10,0.75
2006,Out,10,0.33
2007,Out,10,0.3
2008,Out,10,0.45
2009,Out,10,0.28
2010,Out,10,0.75
2011,Out,10,0.43
2012,Out,10,0.59
2013,Out,10,0.57
2014,Out,10,0.42
2015,Out,10,0.82
2016,Out,10,0.26
2017,Out,10,0.42
2018,Out,10,0.45
2019,Out,10,0.1
2020,Out,10,0.86
2021,Out,10,1.25
2022,Out,10,0.59
2023,Out,10,0.24
2024,Out,10,0.56
1981,Nov,11,5.88
1982,Nov,11,4.59
1983,Nov,11,6.96
1984,Nov,11,10.35
1985,Nov,11,11.12
1986,Nov,11,5.45
1987,Nov,11,15.08
1988,Nov,11,27.94
1989,Nov,11,47.82
1990,Nov,11,16.81
1991,Nov,11,25.21
1992,Nov,11,22.49
1993,Nov,11,35.56
1994,Nov,11,2.81
1995,Nov,11,1.47
1996,Nov,11,0.32
1997,Nov,11,0.17
1998,Nov,11,-0.12
1999,Nov,11,0.95
2000,Nov,11,0.32
2001,Nov,11,0.71
2002,Nov,11,3.02
2003,Nov,11,0.34
2004,Nov,11,0.69
2005,Nov,11,0.55
2006,Nov,11,0.31
2007,Nov,11,0.38
2008,Nov,11,0.36
2009,Nov,11,0.41
2010,Nov,11,0.83
2011,Nov,11,0.52
2012,Nov,11,0.6
2013,Nov,11,0.54
2014,Nov,11,0.51
2015,Nov,11,1.01
2016,Nov,11,0.18
2017,Nov,11,0.28
2018,Nov,11,-0.21
2019,Nov,11,0.51
2020,Nov,11,0.89
2021,Nov,11,0.95
2022,Nov,11,0.41
2023,Nov,11,0.28
2024,Nov,11,0.39
1981,Dez,12,4.37
1982,Dez,12,6.04
1983,Dez,12,7.44
1984,Dez,12,10.35
1985,Dez,12,13.36
1986,Dez,12,11.65
1987,Dez,12,14.15
1988,Dez,12,28.7
1989,Dez,12,51.5
1990,Dez,12,18.44
1991,Dez,12,23.71
1992,Dez,12,25.24
1993,Dez,12,36.84
1994,Dez,12,1.71
1995,Dez,12,1.56
1996,Dez,12,0.47
1997,Dez,12,0.43
1998,Dez,12,0.33
1999,Dez,12,0.6
2000,Dez,12,0.59
2001,Dez,12,0.65
2002,Dez,12,2.1
2003,Dez,12,0.52
2004,Dez,12,0.86
2005,Dez,12,0.36
2006,Dez,12,0.48
2007,Dez,12,0.74
2008,Dez,12,0.28
2009,Dez,12,0.37
2010,Dez,12,0.63
2011,Dez,12,0.5
2012,Dez,12,0.79
2013,Dez,12,0.92
2014,Dez,12,0.78
2015,Dez,12,0.96
2016,Dez,12,0.3
2017,Dez,12,0.44
2018,Dez,12,0.15
2019,Dez,12,1.15
2020,Dez,12,1.35
2021,Dez,12,0.73
2022,Dez,12,0.62
2023,Dez,12,0.56
2024,Dez,12,0.52
